game_id,game_date,season,home_team,away_team,home_pts,away_pts,home_won,home_fg_pct,away_fg_pct,home_reb,away_reb,home_ast,away_ast,home_tov,away_tov,home_pts_l10,home_opp_pts_l10,home_fg_pct_l10,home_reb_l10,home_ast_l10,home_win_l10,away_pts_l10,away_opp_pts_l10,away_fg_pct_l10,away_reb_l10,away_ast_l10,away_win_l10
0022400166,2024-11-04,2024-25,DEN,TOR,121,119,1,0.494,0.456,44,41,29,38,17,13,117.83333333333333,116.16666666666667,0.4495,47.833333333333336,28.666666666666668,0.5,119.42857142857143,125.57142857142857,0.47528571428571426,46.142857142857146,30.285714285714285,0.2857142857142857
0022400161,2024-11-04,2024-25,HOU,NYK,109,97,1,0.489,0.386,50,39,21,20,10,10,112.33333333333333,109.5,0.4093333333333333,47.166666666666664,21.333333333333332,0.5,116.0,109.0,0.5044000000000001,41.4,24.4,0.6
0022400157,2024-11-04,2024-25,ATL,BOS,93,123,0,0.416,0.485,43,50,23,27,19,12,118.42857142857143,121.71428571428571,0.47628571428571437,42.0,27.571428571428573,0.42857142857142855,123.71428571428571,112.0,0.45828571428571424,42.857142857142854,23.428571428571427,0.8571428571428571
0022400175,2024-11-06,2024-25,NOP,CLE,122,131,0,0.477,0.542,33,46,21,33,9,11,107.75,116.125,0.449125,42.625,24.875,0.375,122.25,109.125,0.5225,41.625,28.25,1.0
0022400180,2024-11-06,2024-25,SAC,TOR,122,107,1,0.467,0.489,47,34,26,25,9,11,118.28571428571429,114.0,0.4868571428571428,42.57142857142857,25.142857142857142,0.5714285714285714,119.375,125.0,0.472875,45.5,31.25,0.25
0022400178,2024-11-06,2024-25,PHX,MIA,115,112,1,0.5,0.435,46,43,29,27,16,10,114.42857142857143,110.71428571428571,0.47271428571428575,44.857142857142854,27.0,0.8571428571428571,106.8,109.4,0.43579999999999997,40.6,26.4,0.4
0022400169,2024-11-06,2024-25,CHA,DET,108,107,1,0.433,0.489,47,46,22,34,12,10,111.28571428571429,118.28571428571429,0.4415714285714286,43.857142857142854,22.285714285714285,0.2857142857142857,106.25,109.5,0.46162499999999995,45.875,22.625,0.375
0022400177,2024-11-06,2024-25,DEN,OKC,124,122,1,0.472,0.44,55,47,34,29,18,14,118.28571428571429,116.57142857142857,0.45585714285714285,47.285714285714285,28.714285714285715,0.5714285714285714,113.28571428571429,95.85714285714286,0.46099999999999997,45.0,25.285714285714285,1.0
0022400171,2024-11-06,2024-25,ATL,NYK,121,116,1,0.45,0.488,48,41,31,29,8,15,115.25,121.875,0.46875,42.125,27.0,0.375,112.83333333333333,109.0,0.48466666666666675,41.0,23.666666666666668,0.5
0022400173,2024-11-06,2024-25,HOU,SAS,127,100,1,0.563,0.446,45,41,28,20,11,19,111.85714285714286,107.71428571428571,0.4207142857142857,47.57142857142857,21.285714285714285,0.5714285714285714,105.0,105.85714285714286,0.451,47.57142857142857,25.142857142857142,0.42857142857142855
0022400174,2024-11-06,2024-25,MEM,LAL,131,114,1,0.516,0.441,50,37,28,23,18,11,117.125,115.0,0.48787499999999995,47.0,30.5,0.5,116.14285714285714,118.42857142857143,0.47400000000000003,41.57142857142857,27.142857142857142,0.5714285714285714
0022400176,2024-11-06,2024-25,DAL,CHI,119,99,1,0.484,0.419,47,51,33,25,15,22,112.71428571428571,109.42857142857143,0.4595714285714286,44.857142857142854,25.142857142857142,0.5714285714285714,115.0,119.42857142857143,0.4428571428571428,48.285714285714285,28.285714285714285,0.42857142857142855
0022400179,2024-11-06,2024-25,LAC,PHI,110,98,1,0.569,0.548,29,32,27,19,17,20,109.0,109.14285714285714,0.4590000000000001,47.714285714285715,26.428571428571427,0.42857142857142855,108.66666666666667,116.66666666666667,0.41850000000000004,39.833333333333336,19.666666666666668,0.16666666666666666
0022400172,2024-11-06,2024-25,BOS,GSW,112,118,0,0.422,0.462,47,53,22,22,12,11,123.625,109.625,0.46162499999999995,43.75,23.875,0.875,121.57142857142857,104.28571428571429,0.4772857142857143,49.0,30.428571428571427,0.8571428571428571
0022400170,2024-11-06,2024-25,IND,ORL,118,111,1,0.539,0.512,36,38,21,26,11,16,118.42857142857143,121.85714285714286,0.49942857142857144,42.142857142857146,30.142857142857142,0.42857142857142855,105.125,108.625,0.42400000000000004,43.5,24.125,0.375
0022400182,2024-11-07,2024-25,MIL,UTA,123,100,1,0.512,0.429,41,39,20,24,10,21,111.71428571428571,118.28571428571429,0.4754285714285714,44.42857142857143,22.0,0.14285714285714285,104.85714285714286,119.57142857142857,0.4134285714285714,46.714285714285715,23.571428571428573,0.14285714285714285
